Population,Value,Link
European,741045334,https://www.worldometers.info/world-population/europe-population/
African,1530031247,https://www.macrotrends.net/global-metrics/countries/AFR/africa/
African American,41070890,https://www.neilsberg.com/insights/united-states-population-by-race/
East Asian,1653420578,https://www.worldometers.info/world-population/eastern-asia-population/
Han Chinese,1416096094,https://www.worldometers.info/world-population/eastern-asia-population/
Japanese,123103479,https://www.worldometers.info/world-population/japan-population/
Ashkenazi Jewish,14660000,https://www.pewresearch.org/religion/2015/04/02/jews/
Latino,674862046,https://www.macrotrends.net/global-metrics/countries/LCR/latin-america-and-the-caribbean/population
Finnish,5675983,https://countrymeters.info/en/Finland
Greek,9971933,https://www.worldometers.info/world-population/greece-population/
World,82000000,https://www.worldometers.info/world-population/
